,1,Harry ate six shrimp at dinner.,1,,,
",2,""At dinner, six shrimp were eaten by Harry."",0,,,"
,3,Beautiful giraffes roam the savannah,1,,,
,4,The savannah is roamed by beautiful giraffes,0,,,
,5,Sue changed the flat tire,1,,,
,6,The flat tire was changed by Sue,0,,Active,1
,7,We are going to watch a movie tonight,1,,Passive,0
,8,A movie is going to be watched by us tonight,0,,,
,9,I ran the obstacle course in record time,1,,,
,10,The obstacle course was run by me in record time,0,,,
,11,The crew paved the entire stretch of highway,1,,,
,12,The entire stretch of highway was paved by the crew,0,,,
,13,Mom read the novel in one day,1,,,
,14,The novel was read by Mom in one day,0,,,
,15,The critic wrote a scathing review,1,,,
,16,A scathing review was written by the critic,0,,,
,17,I will clean the house every Saturday,1,,,
,18,The house will be cleaned by me every Saturday,0,,,
,19,The staff is required to watch a safety video every year,1,,,
,20,A safety video will be watched by the staff every year,0,,,
,21,She faxed her application for a new job,1,,,
,22,The application for a new job was faxed by her,0,,,
,23,Tom painted the entire house,1,,,
,24,The entire house was painted by Tom,0,,,
,25,The teacher always answers the students’ questions,1,,,
,26,The students’ questions are always answered by the teacher,0,,,
,27,The choir really enjoys that piece,1,,,
,28,That piece is really enjoyed by the choir,0,,,
,29,Who taught you to ski? ,1,,,
,30,By whom were you taught to ski? ,0,,,
,31,The forest fire destroyed the whole suburb. ,1,,,
,32,The whole suburb was destroyed by the forest fire. ,0,,,
,33,The two kings are signing the treaty. ,1,,,
,34,The treaty is being signed by the two kings. ,0,,,
,35,The cleaning crew vacuums and dusts the office every night. ,1,,,
,36,Every night the office is vacuumed and dusted by the cleaning crew. ,0,,,
,37,Larry generously donated money to the homeless shelter. ,1,,,
,38,Money was generously donated to the homeless shelter by Larry. ,0,,,
,39,No one responded to my sales ad. ,1,,,
,40,My sales ad was not responded to by anyone. ,0,,,
,41,The wedding planner is making all the reservations. ,1,,,
,42,All the reservations will be made by the wedding planner. ,0,,,
,43,Susan will bake two dozen cupcakes for the bake sale. ,1,,,
",44,""For the bake sale, two dozen cookies will be baked by Susan. "",0,,,"
,45,The science class viewed the comet. ,1,,,
,46,The comet was viewed by the science class. ,0,,,
,47,Who ate the last cookie? ,1,,,
,48,The last cookie was eaten by whom? ,0,,,
,49,Alex posted the video on Facebook. ,1,,,
,50,The video was posted on Facebook by Alex. ,0,,,
,51,The director will give you instructions. ,1,,,
,52,Instructions will be given to you by the director. ,0,,,
,53,Thousands of tourists view the Grand Canyon every year. ,1,,,
,54,The Grand Canyon is viewed by thousands of tourists every year. ,0,,,
,55,The homeowners remodeled the house to help it sell. ,1,,,
,56,The house was remodeled by the homeowners to help it sell. ,0,,,
,57,The team will celebrate their victory tomorrow. ,1,,,
,58,The victory will be celebrated by the team tomorrow. ,0,,,
,59,The saltwater eventually corroded the metal beams. ,1,,,
,60,The metal beams were eventually corroded by the saltwater. ,0,,,
,61,The kangaroo carried her baby in her pouch. ,1,,,
,62,The baby was carried by the kangaroo in her pouch. ,0,,,
,63,Some people raise sugar cane in Hawaii. ,1,,,
,64,Sugar cane is raised by some people in Hawaii. ,0,,,
,65,The hunter killed the lion.,1,,,
,66,The lion was killed by the hunter.,0,,,
,67,Someone has cleaned the windows,1,,,
,68,The windows have been cleaned,0,,,
,69,I gave him a book for his birthday,1,,,
,70,He was given a book for his birthday.,0,,,
,71,Someone sent her a cheque for a thousand euros,1,,,
